Address,Postal Code,Latitude,Longitude,Zone,Photo,Size of Property,Nearby Amenities,Public Remark,Services
27A Belmont DR,T8N0C4,53.6351486358454,-113.618353307935,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638519860487300000/reb10/highres/9/E4388579_1.jpg'],,"['Golf Course', 'Playground', 'Schools', 'Shopping']","Build your dream home on this large private corner lot in the heart of St. Albert. Fully serviced WALKOUT lot - ready to start building on right now! Have you wanted to live in a mature neighborhood but didn't want to live in an older house? This is your once-in-a-lifetime chance to custom build the perfect home for your family. Steps to the Sturgeon River Valley and a quick walk to the downtown shops and St. Albert Farmer's Market mean that you will have quick access to all the best parts of town without all the driving. Unlike brand new neighborhoods on the edge of the city, these lots provide a fantastic mix of gorgeous, wide tree-lined streets and character homes plus modern new luxury infill homes. With over 6300sqft lot of land (43' x 150') and rear lane access, you have plenty of room to build an incredible house with a walkout basement plus a HUGE detached 37' x 23'6' garage.  R1 Zoning allows you to have a secondary suite such as a garage or a basement suite, giving you endless possibilities. (31316542)",
10390 105 Street,T5J1E6,53.5459468,-113.5013777,"[{'code': 'UW', 'description': 'Urban Warehouse Zone'}]",['https://cdn.realtor.ca/listings/TS638500758463200000/reb9/highres/1/A2102231_1.jpg'],840 sqft,[],"Investment opportunity minutes from Ice District and adjacent to the rapidly growing MacEwanUniversity. This 840 SF space is leased to Nottingham Cigars &amp; Pipes. With 3 locations serving the greaterEdmonton area, Nottingham Cigars and Pipes offers a wide range of premium cigars, pipes, andaccessories. (28527598)",
15736 100 AV NW,T5P0L1,53.5395484841599,-113.593506415344,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638053941685970000/reb10/highres/7/E4321397_1.jpg'],1226 sqft,[],"1,226 sq ft main floor move-in ready office condo in the Glenwood neighbourhood. Ideal for a variety of professional users. Building signage available, transit routes and amenities nearby. Build out includes reception, boardroom, open work area, 2 washrooms (with shower), kitchenette, server room, and utility room. Condo features air conditioning, electric roll shutters, faade signage, and scramble parking. (29426613)",
4411 154 ST NW,T6H5K6,53.484486300001,-113.5846762,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638508571354300000/reb10/highres/8/E4386358_1.jpg'],,[],"OUTSTANDING OPPORTUNITY TO BUILD YOUR DREAM HOME IN THE HIGHLY SOUGHT AFTER AREA OF OLD RIVERBEND. Located directly across from the North Saskatchewan this lot measures 4680 sqft with approximate dimensions of 37' frontage and 125' of depth. You even get views of the green space and river valley from your front step, plus just around the corner is a park! Your property will align with million dollar homes in a quiet, serene location. The lot provides easy access to bike/walking trails, minutes to multiple schools and all major amenities. This size of lot will allow for a 3000 sqft + 2 storey with double attached garage allowing for a sizeable back yard. This is the opportunity you have been waiting for, turn your dreams into reality today! (31256811)",
6064 106 ST NW,T6H2T7,53.4976914715931,-113.5048937,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638512084414900000/reb10/highres/3/E4387103_1.jpg'],,"['Playground', 'Schools', 'Shopping']","Welcome to the MILLION DOLLAR location of Pleasantview Community. This terrific 45.2 ft x 132 ft (5966 ft) lot with back alley access makes it a great spot to build your dream home or DUPLEX for revenue generating property. This  2.10 RS - Small Scale Residential zoning in a popular infill neighborhood  very close to U of A campus and hospital, Whyte avenue, Southgate Mall, playgrounds, short commute to Downtown, schools, public transportation on door steps and much more.  HOUSE will be STRIPPED DOWN TO THE STUD AND READY TO  BUILD NEW. Price reflects lot value only. Get creative, open your possibilities, grab the opportunity and start your building plans today! (31273701)",
Address not available,T6W2Z8,53.4401194261604,-113.6208317,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638507259670800000/reb10/highres/9/E4386089_1.jpg'],,[],"Unlock limitless potential! With a strategic location, fully equipped kitchen, this turnkey restaurant is poised for growth and profitability under new ownership. Featuring a spacious dine in area accommodating up to 70 guests and a welcoming ambiance indulge in the trifecta of flavor with their diverse menu showcasing mouthwatering Pizzas, savory Donairs, authentic Shawarmas, Shakes and Fries and much more. Great opportunity to buy this amazing well established business. (31247615)",
7951 79 AV NW,T6C0P7,53.5149922744508,-113.451663935582,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638507797531400000/reb10/highres/3/E4383893_1.jpg'],,[],"A rare land situated in the highly sought-after neighbourhood of King Edward Park. Fully serviced and ready to build on 44'(13.2m) X132'(40m). Minutes away from Bonnie Doon Mall, LRT, public transportation, shopping centres, Whyte Avenue and across the street from Duncan Innes Park and King Edward Park Community League. (31185555)",
10072 164 ST NW,T5P4Y3,53.5396742675814,-113.605383436246,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638487633699900000/reb10/highres/6/E4382066_1.jpg'],1515 sqft,[],"Excellent Business Unit at West Edmonton Commerce Park. 1,000 sf on Main Floor and 500 sf on Upper Level (1,515 sf). Presently 3 Offices with Reception/Lobby, Print Room and Washroom on Main Floor. Upper Floor has Board/Meeting Room, Staff Lunch Room and Storage Room. Great Set-Up for just about any Business for Office or Retail Uses. Utilize the present configuration or change out to Your Own use. 2 Parking Stalls in front of Unit with Loads of Parking around the Complex. Quick and Easy Access from Stony Plain Road and 170th Street. Great West End Location. Very Well Maintained Unit. Welcome to Your New Business Location!! (31132174)",
9347 95 ST NW NW,T6C3X1,53.529956700001,-113.4727541,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638462820775200000/reb10/highres/4/E4377394_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping', 'Ski hill']","Rare opportunity in Bonnie Doon! Vacant lot for development in prime location! Zoned RS- Small Scale Residential- 30.21 ft x 132 ft, 3988 sq.ft.  Build your dream home or investment property. Adjacent to single-family home to the north & 4plex to the south, available for combined purchase.  8 min walk to the Valley Line LRT, ravines & shopping. Maximize potential with this trio of properties! Minutes from Rutherford School & Campus Saint-Jean. Short walk to Bonnie Doon shopping or stroll Mill Creek Ravine. Community League offers diverse activities: swimming, yoga, pickleball, and more! Quick jaunt to Whyte Ave & Downtown. Commuters breeze to both in just 5 mins via LRT or bus! (31007932)","Water, Electricity"
#1849 8882 170 ST NW,T5T3J7,53.5239513885855,-113.622332161377,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638417835595930000/reb10/highres/8/E4370788_1.jpg'],,[],"This is a rare opportunity to see this well-established Korean grill franchise business for sale in West Edmonton Mall's food court. Join one of the fastest growing and best franchise companies in Canada with lots of potential to grow. With lots of repeat clientele,walk-ins and take-out orders, great cash flow, income and easy to run, the franchise company will provide comprehensive training and ongoing support to the new purchaser. Do not miss out on this opportunity and do not approach staff directly. Financial statements are available to qualified buyers only. (30818374)",
Address not available,T5X0K4,53.6251673,-113.512298515344,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638481987702030000/reb10/highres/9/E4380959_1.jpg'],,[],45 Seat Dine In Restaurant Serving Halal Middle Eastern Cuisine. (31103450),
14303 101 AV NW,T5N0K7,53.541032707006,-113.567640738623,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638298876938730000/reb10/highres/0/E4357670_1.jpg'],,"['Playground', 'Schools', 'Shopping']","Your best life begins with a home that inspires you. Discover the perfect place to build your dream home in South Grovenor! Nestled in an established neighborhood with tree-lined streets and sidewalks on both sides, this 31'x136' lot is a true gem. Located steps from Mackinnon Ravine Park, you'll enjoy easy access to a lush oasis of greenery and tranquility. Plus, with the Valleyline LTR and Westblock nearby, you can explore the city and stay active with ease. This fantastic location also boasts a twenty-five foot wide corner right-of-way, adding to its charm and appeal. Don't miss the chance to become a part of this amazing community and make your dream a reality. (30392579)",
#113 10411 122 ST NW,T5N1M1,53.5475702592084,-113.53129372632,"[{'code': 'DC1', 'description': 'Direct Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638477667680900000/reb10/highres/5/E4380055_1.jpg'],1113 sqft,[],"Fully fixtured premises ideally built out for massage therapy clinic or spa. Located across the street from the Brewery District. Numerous nearby amenities including Loblaws City Market, GoodLife Fitness, coffee shops & restaurants. Property includes two secure underground parking stalls. Free street parking in front of premises and on-site visitor parking for customers. Situated in Westmount and adjacent to Oliver, the most densely populated communities in Edmonton. Massage tables & other equipment available for purchase separately. Condo fees: $620.86 per month. (31081650)",
10139 112 ST NW,T5K1M1,53.5420581122883,-113.513662464418,"[{'code': 'MU h40 f7 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638476731745000000/reb10/highres/9/E4379849_1.jpg'],1150 sqft,[],"Prime retail/business location just off Jasper Ave. Situated in the Gates on Twelfth condo complex, this unit offers tons of natural light from the storefront windows. Sleek set up with luxury vinyl flooring, workstations in place, & separate kitchenette, & washroom area. This unit is turn-key or renovate to suit your unique needs. 1 Titled underground parking stall with storage included!  Grow your business in the heart of newly revitalized downtown Edmonton! (31073761)",
0 NA NW,B3H1A2,53.5413041675202,-113.493683684656,"[{'code': 'CCA', 'description': 'Core Commercial Arts Zone'}]",['https://cdn.realtor.ca/listings/TS638452467610930000/reb10/highres/1/E4375611_1.jpg'],,[],"Tired of working for someone else? This TURNKEY opportunity may be of interest. In business 29 years, this SUCCESSFUL FAMILY OWNED automotive repair business has for the LAST TEN YEARS AVERAGED OVER 7 FIGURES IN ANNUAL SALES. Signage on busy street GREAT LOCATION. 5626 sq.ft. in leased space. 5 ALM asymmetrical 9000 lb hoists, 1 ALM 7000 lb, 1 ALM 15,000 lb, 1 Girolift 15,000 lb. 1 Rotary Open Beam 4 post Alignment Rack with Hunter Hawkeye Elite Alignment Machine. $14,000 Coates X Series 60X Tire Machine. Quincy QT-5 and Ingersoll Rand T30 air compressors, 7 steel workbenches, welder, sandblaster, etc.  Super low heating costs with a CLEAN BURN CB2800 WASTE OIL HEATING SYSTEM. Onsite storage tanks typically provide enough waste oil to heat building from Dec to early March. LOTS OF CUSTOMER and STAFF PARKING, 20 stalls in front, 2 in back. Great relationship with suppliers, open to new owner keeping the trade name and customer database is included. New signage installed in 2021 for $14,000. (30959799)",
11212 101 ST NW,T5G2A5,53.5613856862563,-113.494121353373,"[{'code': 'RSM h12', 'description': 'Small-Medium Scale Transition Residential'}]",['https://cdn.realtor.ca/listings/TS638477668155900000/reb10/highres/9/E4380049_1.jpg'],,"['Schools', 'Shopping']","Investors and Builders! A unique opportunity to build a Multifamily building or Row housing on this 100x150 lot recently Zoned to RSMh12. This will allow for a build site coverage of 60 percent, a maximum height of 12 meters and unlimited units.  Walking distance to Royal Alex Hospital and NAIT. Perfect location and a perfect project for CMHC. To be sold separately as a 50x150 lot or in conjugation to the contiguous 50x150 lot at 11216 101 street (31081667)",
11216 101 ST NW,T5G2A5,53.561516810037,-113.4941944,"[{'code': 'RSM h12', 'description': 'Small-Medium Scale Transition Residential'}]",['https://cdn.realtor.ca/listings/TS638477668156830000/reb10/highres/0/E4380050_1.jpg'],,[],"Investors and Builders! A unique opportunity to build a Multifamily building or Row housing on this 100x150 lot recently Zoned to RSMh12. This will allow for a build site coverage of 60 percent, a maximum height of 12 meters and unlimited units.  Walking distance to Royal Alex Hospital and NAIT. Perfect location and a perfect project for CMHC. To be sold separately as a 50x150 lot or in conjugation to the contiguous 50x150 lot at 11212 101 street (31081669)",
"111, 4363 167 Avenue NW",T5Y3Y2,53.6278337,-113.4074748,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638454183206470000/reb9/highres/5/A2113045_1.jpg'],1485 sqft,[],"Click the brochure link for more details*** Premium Office Space. Concrete Construction, Durable, fire resistant, efficient, Continuous Glazing, Energy efficient and secure, Spacious 13” ceiling height, Professional Entryway/Lobby, High end finishes, Ample Underground parking, 6:1,000 SF parking ratio, Professionally Managed, Reliable and attentive management. 3rd Floor Units Raw Space - Flexible demising options up to ±13,358 SF. One 2nd floor unit remaining! Raw Space - Flexible demising options up to ±2,519 SF. (28707889)",
1109 WINDERMERE WY SW,T6W2P3,53.4384176078032,-113.617611838623,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638403579575300000/reb10/highres/1/E4369311_1.jpg'],1622 sqft,[],WELCOME TO GANGNAM  & COCO  IN WINDERMERE SW. THIS POPULAR KOREAN FAST FOOD JOINT COMBINES CONVENIENCE AND AUTHENTIC FLAVORS. WELL ESTABLISHED TURN KEY RESTAURANT. (30766616),
#1562 0 na NW,T5Y4J2,53.5223649271443,-113.6224307,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS637877901537700000/reb10/highres/2/E4292772_1.jpg'],,[],Excellent Fast food Franchise in very busy shopping center in WEM. 10 year lease with 5 year option. About 5 years left on existing lease. (28675204),
1115 147 AV NW,T5Y3Z6,53.6100590786087,-113.36007,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638469820128200000/reb10/highres/5/E4378735_1.jpg'],,"['Golf Course', 'Schools', 'Shopping']","Stunning, RIVER FACING, LARGE SIZED parcel of VACANT LAND ready for the development of your DREAM HOME!!!  This  CORNER LOT  is located in the desirable neighbourhood of FRASER and surrounded by other beautiful homes  in a private and quiet CUL DE SAC.  This  lot is in close proximity to our beautiful SASKATCHEWAN RIVER , major routes, shopping, bus routes, schools, parks and so much more!! (31043804)",
0 0 NW NW,T6V0M8,53.603234500001,-113.5795661,"[{'code': 'CB', 'description': 'Business Commercial'}]",['https://cdn.realtor.ca/listings/TS638482707687230000/reb10/highres/6/E4381076_1.jpg'],,[],"Hurry up and grab this red hot opportunity to own a profitable business in the city!!! Become part of a very successful and well established noodle franchise in Edmonton. Excellent location, Strong sales and profitable business with ample growth potential!! Transition training will be provided in store for the buyer  PLEASE DON'T APPROACH TO ANY STAFF OR INQUIRE AT THE LOCATION. (31107360)",
12149 54 ST NW,T5W1N9,53.5761213,-113.4241854,"[{'code': 'RM h16', 'description': 'Medium Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638273398296900000/reb10/highres/0/E4353770_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']",Want to build your dream investment property? Look no further than this 69X123ft  RA7 zoned lot on a 8516sq.ft 22 unit building pocket! There is a subdivision analysis and more information about this great land potential! (30287639),"Water, Electricity"
Address not available,T6T0C2,53.4776638331158,-113.371721920129,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638188566744030000/reb10/highres/3/E4336943_1.jpg'],2800 sqft,[],"Be your own boss! Have a passion to be an entrepreneur in one of the Authentic Vietnamese PHO (noodle) Restaurant Franchise opportunity available in Edmonton. A great opportunity to take over a turnkey business Franchise Operation in a busy strip mall. High traffic. The new Buyer could convert it to a different type of food subject to landlord approval.   All furnishings and a fully equipped functional kitchen are included. Newly and fully renovated in 2022. Provide training. Capacity: 80 seats, 2800 sqft, Ample parking. Act now! (29836027)",
9203 88 AV NW NW,T6C4L2,53.5233555129679,-113.468096880951,"[{'code': 'MU h16 f3.5 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638362036189270000/reb10/highres/2/E4365932_1.jpg'],,['Playground'],"Do you love to build? This is the perfect space to create the building of your dreams. This is currently zoned as CSC but will be under the multiuse zoning come January 1, 2024. The lot is currently not serviced but could easily be with access thru the adjacent land. (30667309)",
10564 98 ST NW,T5H2N4,53.5499407839219,-113.490300933312,"[{'code': 'MU h16 f3.5 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS637589325533530000/reb10/highres/9/E4248959_4.jpg'],,[],"Apprx. 4537 sq ft corner commercial lot in Vietnam and China Town close to new developments such as : Roger Arena, Epcor Tower, Art District, Museum, LRT System. Asking $419,900, but will look at offers! Zoned CB2 (27565504)",
12421 79 ST NW,T5B2M2,53.5805151911134,-113.461461886508,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638469604037200000/reb10/highres/2/E4378682_1.jpg'],,"['Playground', 'Schools', 'Shopping']",Investor alert! Outstanding 1030 sq. meter lot in the community of Elmwood Park. It is rare to find a lot this size. (approx 74' x 150') with back alley access. Many new homes are being built in this mature area and the possibilities are unlimited. (31041500),
"108, 4363 167 Avenue NW",T5Y3Y2,53.6278337,-113.4074748,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638454175867600000/reb9/highres/9/A2113019_1.jpg'],1572 sqft,[],"Click the brochure link for more details***Premium Office Space. Concrete Construction, Durable, fire resistant, efficient, Continuous Glazing, Energy efficient and secure, Spacious 13” ceiling height, Professional Entryway/Lobby, High end finishes, Ample Underground parking, 6:1,000 SF parking ratio, Professionally Managed, Reliable and attentive management. 3rd Floor Units Raw Space - Flexible demising options up to ±13,358 SF. One 2nd floor unit remaining! Raw Space - Flexible demising options up to ±2,519 SF. (28707731)",
4015 97 ST NW,T6E5X7,53.475679900001,-113.47807,"[{'code': 'BE', 'description': 'Business Employment'}]",['https://cdn.realtor.ca/listings/TS638489691758070000/reb10/highres/1/E4382541_1.jpg'],1810 sqft,[],"Warehouse unit, South Central location with exposure to 97 Street; BE zoned allowing for a wide range of potential users. Easy access to public transit and Whitemud Drive. Enriched reserve fund through developer contribution; Highly functional loading and access. Warehouse bay offers 16' clear ceilings. New roof (2013) and steel cladding (2011) on both buildings. Office and a reception in the front. (31147914)",
31B & 31C Rowland CR,T8N4B8,53.6187214119619,-113.644942622754,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638497323686700000/reb10/highres/0/E4384100_1.jpg'],2194 sqft,[],"2,194 sq. ft. main floor - open plan - vaulted ceiling. Plus open mezzanine area. With 8' overhead door at rear. Currently leased to exercise/fitness training facility. (31190582)",
9319 111 AV NW,T5G0A2,53.5600889183686,-113.485069815344,"[{'code': 'MU h16 f3.5 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638042158071330000/reb10/highres/7/e4320387_1.jpg'],6396 sqft,[],Former restaurant facility on one side and butcher shop on the other. Some work will be required but in a high volume location. (29391561),
#430 11044 82 AV NW,T6G0T2,53.5183836840532,-113.517386715344,"[{'code': 'MU h40 f7 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638436871447570000/reb10/highres/1/E4344261_1.jpg'],1561 sqft,[],"The Garneau Professional Centre is located on Whyte Ave within walking distance to the U of A. This building has recently been converted into condos, meaning these units have never been for sale individually until now. Excellent opportunity for owner/user groups. Instead of paying rent, build equity and put your money back into your pocket. Ideal for medical and professional users.  Building Features include underground parking, ample visitor parking, signage opportunities facing Whyte Avenue traffic, elevators and over $1M in common area renovations. There are several size options available from 732 Sq. Ft. up to 8,353 Sq. Ft. with a healthy mix of developed medical and office space as well as some raw units ready for your customization. (30024030)",
7552 78 AV NW,T6C0M7,53.5144807733428,-113.4455287,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638447356056770000/reb10/highres/6/E4374716_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","Prime 50' x 130' lot in King Edward Park, ready for development. Subdividable and free from any demo or asbestos expenses. This spacious and conveniently located property offers endless possibilities for construction. With a generous size, it provides ample space for building your dream project or two! Don't miss the chance to transform this blank canvas into a remarkable space in this sought-after neighborhood! (30936412)","Water, Electricity"
"109, 4363 167 Avenue NW",T5Y3Y2,53.6278337,-113.4074748,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638454175867570000/reb9/highres/7/A2113037_1.jpg'],1636 sqft,[],"Click the brochure link for more details*** Premium Office Space. Concrete Construction, Durable, fire resistant, efficient, Continuous Glazing, Energy efficient and secure, Spacious 13” ceiling height, Professional Entryway/Lobby, High end finishes, Ample Underground parking, 6:1,000 SF parking ratio, Professionally Managed, Reliable and attentive management. 3rd Floor Units Raw Space - Flexible demising options up to ±13,358 SF. One 2nd floor unit remaining! Raw Space - Flexible demising options up to ±2,519 SF. (28707786)",
